GameId,Role,PitcherHandedness,Delivery,ReleaseSpeed,ZoneSpeed,PitchVerticalApproachAngle,ReleaseExtension,ReleaseHeight,ReleaseSide,ArmAngleBR,ArmSlotBR,StrideLength,StrideLengthPercentHeight,StrideWidth,TimeToPlate,PeakHipsVeloX,PeakPitchHandVeloX,DLHipRotMin,HSSepMin,PARotMax,PAScapRetMin,SLKneeFlexFP,PAElbowFlexBR,SLKneeFlexBR,TorsoFBBR,TorsoSBBR,PeakMomDL,PeakMomSL,PeakMomTorso,PeakMomLFA,PeakMomLUA,PeakMomPFA,PeakMomPUA,PeakMomTotalBody,PeakMomTimeDL,PeakMomTimeSL,PeakMomTimeTorso,PeakMomTimeLFA,PeakMomTimeLUA,PeakMomTimePFA,PeakMomTimePUA,PeakMomTimeTotalBody,PeakPelvisRotVelo,PeakPelvisRotVeloTime,PeakChestRotVelo,PeakChestRotVeloTime,PeakElbowExtVelo,PeakElbowExtVeloTime,PeakShoulderIRVelo,PeakShoulderIRVeloTime,PelvisChestPeakTimeDiff,PeakSLKneeExtVelo,ClosingSpeed,ClosingTime,TimeFirstMove,TimeHandSeparation,TimePeakKneeLift,TimeFootPlant,TimeMER,PitchType,SpinRate,SpinDirection,InducedVertBreak,SpinEfficiency,PitchCount
717299,Pitcher,R,WU,91.77349854,84.27861023,-5.133590221,7.262163639,5.675069809,-1.533779979,103.5149948,45.79627078,6.146239659,0.945575332,0.362847894,1.771531888,9.675753358,75.46873252,-58.00001255,-57.37542652,184.7074959,-32.97490367,38.11297961,47.02474098,62.27351454,33.43962536,-20.68569357,61.90816119,64.82532356,166.4959625,13.43639143,19.73056446,25.97069654,33.17781096,328.5382369,-0.2062897,-0.3729417,-0.1362967,-0.1229637,-0.1162977,-0.0063077,-0.0463047,-0.1396287,451.6630966,-0.1196307,1044.058813,-0.1062987,1734.323423,-0.0063077,3391.059334,0.0170233,0.013332,-10.41889922,517.5293294,0.146654,-1.3495207,-0.4895977,-0.8095687,-0.1396287,-0.0329717,FB,2107.554443,199.5619965,16.44396257,0.960171165,2
717247,Pitcher,R,WU,97.04550171,88.10791016,-4.156420231,7.090123177,5.591730118,-1.704550028,94.00865122,36.3730965,6.080549723,0.935469188,0.40537877,1.752433645,9.991047213,75.76159575,-58.04586466,-61.72330267,184.5038044,-41.68386375,39.2426012,46.8481583,52.68067355,34.4253989,-18.91034523,62.44012435,66.94521756,165.6328302,14.09385481,20.73210707,25.9716641,35.64341801,299.1052873,-0.2025897,-0.2592517,-0.0659347,-0.1092647,-0.1125977,-0.0126067,-0.0492697,-0.1625937,614.4617374,-0.1292627,1123.914991,-0.0959327,1530.587887,-0.0126067,3199.047552,0.0140573,0.03333,-193.6935834,597.4831876,0.133321,-1.3524867,-0.4925637,-0.8158677,-0.1425947,-0.0326047,FB,2166.217773,196.6399994,15.98059559,0.95290489,4
717442,Pitcher,R,S,92.13950348,84.96511841,-3.721620083,7.364536762,5.595469952,-1.725729942,95.55807221,39.83204849,5.949482119,0.915304941,0.708607557,1.599487655,9.259700875,74.92766171,-56.00091122,-58.76528078,181.0939286,-30.29763191,41.24445828,49.24915852,57.04764738,33.88318873,-20.47173278,58.96917215,59.63077053,158.5249995,13.33513547,19.40874756,25.0271297,32.78430701,304.7178549,-0.2279344,-0.3979174,-0.1312774,-0.1179454,-0.1146124,-0.0146224,-0.0479524,-0.1346104,446.2694642,-0.1246114,1043.206225,-0.1046134,1538.394407,-0.0112894,3204.511602,0.0087086,0.019998,-44.62789587,487.539418,0.146652,-1.1811724,-0.4879084,-0.7545484,-0.1312774,-0.0346204,FB,1924.918091,199.7330017,13.46009016,0.944998645,2
716858,Pitcher,R,WU,92.78540039,85.06826019,-6.423520088,7.029520988,5.752580166,-1.781450033,99.58123443,45.10747386,5.774588476,0.888398227,0.478059779,1.690188186,8.231082022,75.22429718,-48.43573036,-59.10074789,183.4247397,-30.39820492,52.62807282,46.75836972,65.62028541,34.31773511,-21.22735394,54.8462453,58.87871594,152.6919894,13.78722204,20.2762345,25.64582924,33.22678419,281.2331225,-0.196204,-0.296195,-0.069548,-0.112877,-0.112877,-0.00622,-0.049549,-0.146208,551.6276014,-0.12621,1016.638154,-0.099545,1595.094842,-0.00622,3538.640405,0.013779,0.026665,-76.06953037,519.4179872,0.139988,-1.272779,-0.516177,-0.806152,-0.12621,-0.036217,FB,2114.709229,191.4839935,17.05286407,0.946410466,3
717247,Pitcher,R,WU,97.40129852,88.72750092,-4.490610123,7.129622936,5.56622982,-1.667700052,91.47861563,34.96294652,6.232390787,0.958829352,0.346584095,1.756418013,9.824858443,75.47508236,-57.8998518,-62.25962699,182.6262286,-33.03893761,37.03298763,46.82119324,44.99307521,34.61795015,-17.16673328,62.428821,68.69555877,165.0459014,14.62064314,20.78434579,25.67942726,35.93280206,306.7043524,-0.2017156,-0.3250316,-0.0650686,-0.1150616,-0.1117286,0.0015884,-0.0484046,-0.1317256,609.1371254,-0.1283936,1241.837132,-0.0950646,1482.581716,-0.0117436,2932.468246,0.0115874,0.033329,-265.3739798,582.9138927,0.133314,-1.3582296,-0.4883426,-0.8182996,-0.1383916,-0.0317406,FB,2158.581055,195.8659973,14.57735968,0.893480375,5
717299,Pitcher,R,S,81.65039825,74.72052765,-4.971149921,6.545020103,5.507239819,-1.722890019,95.5433036,36.6385805,5.971786734,0.918736421,0.673504499,1.579385655,9.197762549,73.34280412,-56.45104822,-60.10689809,178.7605297,-31.15889443,37.45040002,49.64362431,61.51888403,33.24337102,-20.01864963,61.09057508,63.93451005,157.5366654,13.1206158,19.45698213,25.40672039,32.64230575,295.2988298,-0.1948563,-0.3815063,-0.1281953,-0.1248623,-0.1181963,-0.0148723,-0.0482023,-0.1281953,491.9860663,-0.1981893,1066.743659,-0.1048643,1585.87229,-0.0115393,3149.739392,0.0117927,0.093325,-36.69352399,516.2244761,0.149987,-1.1047773,-0.4914973,-0.7348093,-0.1181963,-0.0382033,SL,2140.218262,151.5209961,10.64613318,0.442996277,3
717247,Pitcher,R,WU,97.87670135,89.0047226,-4.742899895,6.98439312,5.516839981,-1.729449987,91.74846048,33.81222384,6.096286017,0.937890156,0.356712946,1.746957519,9.934897856,76.58630653,-57.8788082,-64.50969857,182.2107552,-37.76045761,28.91802517,47.26647412,51.90387142,34.63098135,-17.56055869,63.63960965,67.02231221,164.4188198,14.46881769,20.90397298,26.09646941,35.77641541,306.1341131,-0.2005637,-0.3638827,-0.1272367,-0.1105717,-0.1072387,-0.0105807,-0.0472447,-0.1372367,617.0960353,-0.1339027,1271.569698,-0.0905737,1505.084783,-0.0105807,2905.987285,0.0127503,0.043329,-173.8630181,605.7459177,0.129988,-1.3504617,-0.4872047,-0.7971777,-0.1505687,-0.0305787,FB,2152.431152,199.9279938,15.01740646,0.877826328,6
716858,Pitcher,R,WU,80.56829834,74.11740112,-7.222949982,6.450174332,5.577519894,-2.351789951,92.50347234,34.84692659,5.63294884,0.866607514,0.852025596,1.739592987,8.888205999,73.34117654,-57.2646037,-59.47129937,178.92624,-35.91070798,52.54590492,48.96161995,64.62956186,33.1714743,-22.11490349,53.89236949,61.8529623,147.292583,13.80213263,19.71013217,25.2342879,33.58216778,295.063599,-0.1566311,-0.3566031,-0.1532991,-0.1632971,-0.1133041,-0.0133191,-0.0499801,-0.1599641,537.3227354,-0.1899601,1017.866603,-0.0999731,1425.071093,-0.0166511,3053.336417,0.0100119,0.089987,-64.08764781,516.8138324,0.146646,-1.2598081,-0.4999161,-0.7898751,-0.0733101,-0.0366491,SL,2348.19458,111.711998,6.575054884,0.42538367,4
717299,Pitcher,R,S,81.81600189,74.98643494,-4.918610096,6.625529289,5.464069843,-1.711689949,95.5187373,35.62695321,6.114259149,0.940655254,0.676658396,1.596765726,9.258834653,73.98719556,-56.96760115,-60.23150878,177.5843064,-33.32777579,31.03767226,48.92220226,57.2489214,33.18463556,-18.53486547,61.40373738,67.10026985,157.945952,13.46299522,19.56003019,25.68554581,33.64097421,295.305567,-0.1937549,-0.3537339,-0.1304299,-0.1504269,-0.1170979,-0.0137779,-0.0471069,-0.1304299,418.8484043,-0.1937549,1082.536331,-0.1004339,1591.485353,-0.0104449,3117.594493,0.0095521,0.093321,-106.2767259,526.3000827,0.146648,-1.1236349,-0.4870509,-0.7403509,-0.1204309,-0.0371079,SL,2199.843262,157.3049927,10.43087339,0.40792376,4
717442,Pitcher,R,S,81.82980347,76.22818756,-7.283110142,6.712971687,5.608449936,-1.488520026,100.7108324,40.50250382,6.141440498,0.944837,0.739356826,1.610879923,9.091849513,73.61439253,-56.53260193,-58.36490992,178.7117169,-31.62509167,34.80561253,49.52494388,56.49353586,34.97510217,-21.35540553,57.51652898,60.84289818,156.9534306,12.91850424,19.11137161,24.79733611,32.68210227,294.7519791,-0.2008104,-0.3707934,-0.1241504,-0.1141514,-0.1141514,-0.0141614,-0.0474914,-0.1308164,453.5193658,-0.2141424,1016.823664,-0.1008194,1677.173673,-0.0074954,3231.252691,0.0125036,0.113323,-191.0987964,504.2275507,0.146653,-1.1407214,-0.4974484,-0.7474244,-0.1408154,-0.0341594,SL,2103.610596,143.3059998,11.83785868,0.373478816,3
